job_id,job_title,job_tags,company_address,company_name,company_size,min_salary,max_salary,experiences,industries,languages,frameworks
1361013,Lập Trình Viên Front End (ReactJS/Nextjs),"React Native, ",Hồ Chí Minh,CÔNG TY CỔ PHẦN THỂ THAO UNITY FITNESS,100-499 nhân viên,20,30,,Web-Front,JS,"NextJS,ReactJS,React Native"
1397632,Game Designer,,Hà Nội,Zitga studios,25-99 nhân viên,,,,,,
1396731,IT Comtor,,Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG TCOM,25-99 nhân viên,,25,,,,
1397390,Nhân Viên Kinh Doanh Giải Pháp,,Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG TCOM,25-99 nhân viên,12,18,,,,
1376588,Nhân Viên Số Hóa - Nhập Liệu Data,,Hà Nội,CÔNG TY CỔ PHẦN THƯƠNG MẠI CÔNG NGHỆ THÔNG TIN DI ĐỘNG,100-499 nhân viên,,,,,,
1396532,Junior Product Owner,,Hồ Chí Minh,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VEXERE,100-499 nhân viên,,,,,,
1397529,Chuyên Viên Phát Triển Kinh Doanh B2B,,Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ UPBASE,100-499 nhân viên,10,20,,,,
1397650,Nhân Viên Kinh Doanh Phần Mềm,,Hồ Chí Minh,CÔNG TY TNHH DOCUMENT EASY,10-24 nhân viên,7,15,,,,
1296416,Nhân Viên Dropship Facebook Advertising,"Facebook Ads, phân tích số liệu, English, ",Hồ Chí Minh,Penguin Secret Agency,10-24 nhân viên,,,,,,
1385371,BackEnd Developer (Thu Nhập Từ 16 Triệu - 35 Triệu),,Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ AIT,500-1000 nhân viên,16,35,1,Web-Back,Java,SpringBoot
1355535,Phiên Dịch Tiếng Nhật,,Hà Nội,Công ty Cổ phần NTTe-MOI,100-499 nhân viên,15,20,,,,
1397758,IT Services Quality Management - Techcombank Hà Nội,,Hà Nội,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN KỸ THƯƠNG VIỆT NAM,10000+ nhân viên,,,,,,
1396923,Nhân Viên Kinh Doanh Sản Phẩm Giải Pháp Phần Mềm,,Hà Nội,CÔNG TY CỔ PHẦN TCOM,100-499 nhân viên,12,18,,,,
